iter	Passed	Remaining
239	1183	23476
240	1185	23410
241	1190	23398
242	1197	23450
243	1203	23459
244	1208	23461
245	1210	23387
246	1214	23367
247	1215	23295
248	1222	23318
249	1226	23312
250	1232	23326
251	1239	23349
252	1245	23365
253	1252	23399
254	1258	23410
255	1263	23416
256	1269	23421
257	1274	23426
258	1277	23380
259	1281	23358
260	1283	23306
261	1285	23251
262	1290	23244
263	1294	23220
264	1299	23219
265	1304	23220
266	1311	23241
267	1317	23255
268	1322	23257
269	1328	23274
270	1335	23299
271	1339	23290
272	1345	23293
273	1348	23261
274	1354	23272
275	1355	23202
276	1360	23196
277	1365	23199
278	1369	23175
279	1372	23131
280	1375	23103
281	1377	23042
282	1381	23029
283	1387	23045
284	1392	23044
285	1400	23087
286	1405	23075
287	1409	23064
288	1414	23064
289	1420	23064
290	1424	23050
291	1427	23013
292	1432	23012
293	1438	23020
294	1445	23048
295	1451	23064
296	1457	23079
297	1462	23068
298	1467	23075
299	1470	23044
300	1476	23042
301	1480	23033
302	1486	23038
303	1490	23024
304	1493	22993
305	1499	23008
306	1501	22954
307	1507	22968
308	1511	22952
309	1517	22961
310	1522	22955
311	1527	22953
312	1532	22945
313	1534	22901
314	1539	22895
315	1541	22844
316	1546	22844
317	1552	22854
318	1555	22824
319	1558	22800
320	1560	22745
321	1562	22694
322	1566	22687
323	1568	22640
324	1571	22602
325	1572	22547
326	1573	22488
327	1578	22484
328	1581	22456
329	1586	22448
330	1587	22398
331	1591	22372
332	1596	22371
333	1599	22342
334	1601	22305
335	1606	22294
336	1609	22271
337	1613	22261
338	1617	22243
339	1620	22216
340	1623	22184
341	1627	22167
342	1633	22175
343	1635	22139
344	1641	22153
345	1645	22130
346	1649	22120
347	1653	22100
348	1658	22102
349	1664	22119
350	1670	22128
351	1676	22139
352	1687	22209
353	1694	22244
354	1700	22244
355	1706	22260
356	1712	22272
357	1719	22296
358	1726	22321
359	1733	22342
360	1739	22350
361	1743	22331
362	1748	22331
363	1751	22305
364	1753	22273
365	1759	22273
366	1762	22249
367	1766	22239
368	1772	22240
369	1777	22243
370	1779	22208
371	1783	22192
372	1790	22208
373	1796	22221
374	1802	22230
375	1806	22219
376	1808	22172
377	1814	22185
378	1820	22200
379	1827	22217
380	1833	22232
381	1837	22218
382	1843	22227
383	1848	22225
384	1851	22192
385	1852	22143
386	1857	22142
387	1862	22143
388	1868	22144
389	1873	22146
390	1879	22149
391	1883	22136
392	1884	22097
393	1889	22088
394	1894	22086
395	1897	22061
396	1905	22090
397	1909	22074
398	1912	22056
399	1917	22052
400	1924	22067
401	1930	22085
402	1936	22084
403	1938	22047
404	1940	22016
405	1946	22020
406	1951	22025
407	1955	22007
408	1960	22004
409	1966	22010
410	1968	21975
411	1972	21964
412	1978	21975
413	1984	21984
414	1986	21948
415	1992	21955
416	1994	21925
417	2000	21923
418	2005	21930
419	2011	21933
420	2014	21910
421	2020	21918
422	2024	21903
423	2028	21895
424	2033	21889
425	2034	21848
426	2040	21851
427	2044	21844
428	2048	21827
429	2053	21825
430	2059	21830
431	2064	21833
432	2069	21824
433	2077	21861
434	2083	21866
435	2088	21864
436	2090	21829
437	2094	21815
438	2100	21826
439	2103	21802
440	2110	21819
441	2115	21820
442	2121	21819
443	2126	21817
444	2133	21840
445	2140	21851
446	2144	21845
447	2148	21833
448	2154	21840
449	2159	21831
450	2164	21836
451	2170	21840
452	2173	21813
453	2177	21804
454	2183	21812
455	2189	21820
456	2194	21815
457	2198	21805
458	2205	21816
459	2209	21808
460	2215	21814
461	2218	21787
462	2223	21788
463	2228	21784
464	2233	21778
465	2239	21786
466	2241	21756
467	2247	21763
468	2252	21764
469	2258	21764
470	2264	21772
471	2269	21770
472	2273	21754
473	2276	21733
474	2278	21706
475	2280	21677
476	2286	21678
477	2291	21682
478	2297	21685
479	2302	21682
480	2305	21655
481	2307	21624
482	2309	21598
483	2314	21598
484	2319	21588
485	2324	21586
486	2329	21588
487	2333	21574
488	2338	21571
489	2343	21569
490	2349	21572
491	2350	21535
492	2356	21540
493	2358	21509
494	2364	21515
495	2368	21506
496	2374	21515
497	2380	21523
498	2386	21522
499	2391	21526
500	2397	21529
501	2402	21529
502	2406	21519
503	2413	21525
504	2415	21497
505	2417	21472
506	2423	21478
507	2428	21475
508	2433	21469
509	2437	21463
510	2443	21466
511	2449	21467
512	2454	21470
513	2460	21475
514	2464	21466
515	2468	21453
516	2471	21430
517	2478	21443
518	2483	21439
519	2488	21437
520	2490	21407
521	2495	21407
522	2498	21386
523	2503	21385
524	2506	21368
525	2510	21354
526	2514	21345
527	2519	21335
528	2524	21340
529	2530	21338
530	2534	21332
531	2538	21320
532	2544	21326
533	2550	21334
534	2552	21303
535	2557	21300
536	2562	21293
537	2569	21306
538	2572	21294
539	2578	21296
540	2584	21298
541	2595	21349
542	2601	21355
543	2605	21344
544	2610	21342
545	2619	21371
546	2625	21370
547	2631	21376
548	2637	21379
549	2643	21384
550	2648	21382
551	2652	21374
552	2656	21358
553	2660	21355
554	2662	21326
555	2669	21338
556	2675	21340
557	2680	21339
558	2686	21342
559	2691	21342
560	2696	21335
561	2700	21326
562	2705	21324
563	2710	21320
564	2715	21313
565	2717	21287
566	2724	21299
567	2729	21300
568	2736	21310
569	2742	21315
570	2748	21321
571	2755	21327
572	2760	21325
573	2766	21330
574	2773	21343
575	2779	21346
576	2784	21348
577	2789	21340
578	2796	21354
579	2802	21359
580	2807	21354
581	2812	21350
582	2817	21349
583	2821	21336
584	2827	21338
585	2833	21341
586	2837	21331
587	2840	21316
588	2846	21316
589	2852	21322
590	2858	21323
591	2863	21320
592	2869	21325
593	2875	21332
594	2880	21325
595	2887	21337
596	2893	21338
597	2899	21346
598	2908	21370
599	2914	21370
600	2918	21360
601	2923	21359
602	2929	21361
603	2937	21379
604	2942	21372
605	2948	21377
606	2954	21378
607	2960	21384
608	2965	21381
609	2971	21387
610	2977	21389
611	2985	21402
612	2991	21406
613	2997	21408
614	3004	21424
615	3010	21426
616	3016	21431
617	3022	21428
618	3028	21431
619	3036	21449
620	3040	21441
621	3046	21440
622	3051	21438
623	3057	21440
624	3063	21441
625	3068	21439
626	3074	21444
627	3078	21434
628	3083	21430
629	3088	21421
630	3094	21423
631	3100	21426
632	3105	21422
633	3111	21426
634	3117	21430
635	3123	21432
636	3127	21423
637	3132	21415
638	3136	21404
639	3139	21384
640	3145	21390
641	3151	21392
642	3157	21392
643	3161	21386
644	3167	21383
645	3169	21364
646	3174	21357
