iter	Logloss
121	0.3989564107
122	0.3985055762
123	0.3978203273
124	0.3973545508
125	0.3969169738
126	0.3969005917
127	0.3966448873
128	0.396023516
129	0.3954844919
130	0.3949503693
131	0.3948214262
132	0.3942316439
133	0.3937873147
134	0.3931742971
135	0.3927732749
136	0.3926251163
137	0.3924100778
138	0.3917090197
139	0.3911403974
140	0.390862498
141	0.390739828
142	0.3903159506
143	0.3900226641
144	0.3893441675
145	0.3889844853
146	0.3888068709
147	0.3881273192
148	0.3879185706
149	0.387219779
150	0.3869825844
151	0.3866402585
152	0.3864311959
153	0.3858384204
154	0.3855531878
155	0.3852084935
156	0.385040063
157	0.3849262136
158	0.3847585725
159	0.3843809682
160	0.3837073581
161	0.3835845252
162	0.3835448799
163	0.3828197548
164	0.3824118336
165	0.3819131236
166	0.3817063255
167	0.3815076951
168	0.3811424568
169	0.3808566839
170	0.3807064091
171	0.3806159189
172	0.3800058754
173	0.3799993236
174	0.3797537921
175	0.3797049105
176	0.3797015906
177	0.3796139878
178	0.3794086897
179	0.3791548463
180	0.3779327529
181	0.3776795315
182	0.3775643405
183	0.377183411
184	0.3767416609
185	0.3762219304
186	0.3758817828
187	0.3757121808
188	0.3753149912
189	0.3751450675
190	0.374695684
191	0.374579483
192	0.3745225673
193	0.3743147449
194	0.3740879998
195	0.3740370599
196	0.3739831669
197	0.3738129713
198	0.3734716258
199	0.3731254407
200	0.3728524242
201	0.3721700179
202	0.3721685603
203	0.3720083275
204	0.3715833911
205	0.3713844834
206	0.3712003627
207	0.3709015412
208	0.3708913548
209	0.3705827117
210	0.3701833257
211	0.3701619841
212	0.3699039147
213	0.3696420722
214	0.3696076801
215	0.369433305
216	0.3689534311
217	0.3687146436
218	0.368370897
219	0.3682715197
220	0.3681413433
221	0.3678463898
222	0.3675005988
223	0.367336353
224	0.3672013362
225	0.3670830111
226	0.3669020799
227	0.3666109727
228	0.3664848945
229	0.3662397286
230	0.3662301149
231	0.3659526861
232	0.3657365963
233	0.3654992027
234	0.3654139293
235	0.3650587469
236	0.3649035885
237	0.3647358388
238	0.3645023217
239	0.3644583621
240	0.3644476162
241	0.3643635839
242	0.3641010697
243	0.3638166927
244	0.3634376213
245	0.3634372907
246	0.3632530319
247	0.3632451728
248	0.3628621287
249	0.3627031295
250	0.3623695221
251	0.36215853
252	0.3619261994
253	0.3612733659
254	0.3609995606
255	0.3607687859
256	0.3606135074
257	0.3604937306
258	0.3602771369
259	0.3599920395
260	0.359948623
261	0.3599306224
262	0.3598527593
263	0.3593683524
264	0.3589139884
265	0.3587875283
266	0.3586245775
267	0.358032436
268	0.3577650625
269	0.3575964563
270	0.357178442
271	0.3570051742
272	0.3565856335
273	0.3564278066
274	0.3563523841
275	0.3563523064
276	0.3562492373
277	0.3559941737
278	0.3559111532
279	0.3557791674
280	0.3557290618
281	0.3557290281
282	0.3556211463
283	0.3555028133
284	0.3552984432
285	0.3548835403
286	0.3548544391
287	0.3547052058
288	0.3545322945
289	0.3543755262
290	0.35427743
291	0.3541753725
292	0.3538950828
293	0.3531818201
294	0.3525227129
295	0.352474101
296	0.3521736878
297	0.3520046234
298	0.351886595
299	0.3517969867
300	0.3515988462
301	0.3514292528
302	0.3513323443
303	0.3511697268
304	0.3511323398
305	0.3509008391
306	0.3508975422
307	0.3505585305
308	0.3504834089
309	0.3502500558
310	0.3501107626
311	0.3500732852
312	0.3499250239
313	0.349912155
314	0.349590201
315	0.3495712621
316	0.3494069375
317	0.3493132552
318	0.3492923095
319	0.3492707059
320	0.349262484
321	0.349259278
322	0.3485180307
323	0.3484835826
324	0.3484163304
325	0.3483988417
326	0.3483988414
327	0.3481825437
328	0.3481056699
329	0.3479361157
330	0.3479328317
331	0.3476351396
332	0.3473783919
333	0.3473633822
334	0.3473155179
335	0.3472063019
336	0.3471010426
337	0.3470749324
338	0.3468763456
339	0.3468242063
340	0.3467639018
341	0.3462108237
342	0.3458294534
343	0.3457908306
344	0.3456069104
345	0.3454411465
346	0.3452376294
347	0.3450146907
348	0.3448438525
349	0.3446626523
350	0.3446181526
351	0.3444253119
352	0.3443110474
353	0.3438334987
354	0.3436884597
355	0.3436388292
356	0.3435395205
357	0.3430542286
358	0.3427013803
359	0.3425182266
360	0.3424990863
361	0.3424319691
362	0.3423284857
363	0.3421811978
364	0.3421475705
365	0.3418944608
366	0.3418731266
367	0.3416620969
368	0.3415043099
369	0.3411424985
370	0.3411302755
371	0.3411121712
372	0.3409979557
373	0.3409286171
374	0.3407745461
375	0.3406954273
376	0.3406936928
377	0.3403189954
378	0.3401820026
379	0.3399879542
380	0.3395542219
381	0.3393310095
382	0.3391614647
383	0.3388611003
384	0.3386766285
385	0.3386766268
386	0.3385398858
387	0.338489568
388	0.3381810954
389	0.3380368216
390	0.3378208639
391	0.337559479
392	0.337559478
393	0.3373369119
394	0.3371799705
395	0.3370754218
396	0.3366559638
397	0.3365749153
398	0.3365541185
399	0.3364358364
400	0.3363125767
401	0.3360788009
402	0.3359643313
403	0.3359551996
404	0.3359550164
405	0.3354507424
406	0.3353388019
407	0.3352319504
408	0.3347837031
409	0.3345771974
410	0.3345771934
411	0.3344173875
412	0.3341871422
413	0.3339089786
414	0.3339064645
415	0.3337161364
416	0.3337084819
417	0.3335122911
418	0.3333187231
419	0.3332074054
420	0.3332004609
421	0.3329540289
422	0.3328098509
423	0.3327792669
424	0.3326295522
425	0.3326295398
426	0.3324405384
427	0.3323095054
428	0.3322646726
429	0.3322070748
430	0.3316844396
431	0.3314797169
432	0.331320697
433	0.3311332978
434	0.3310351728
435	0.3309286969
436	0.3309073267
437	0.3308220322
438	0.330470645
439	0.3303957481
440	0.3303592085
441	0.3301002305
442	0.3299674795
443	0.3298458383
444	0.329426081
445	0.3293697174
446	0.3293035278
447	0.3291286529
448	0.3287306721
449	0.3284207079
450	0.328075095
451	0.3278703416
452	0.327832857
453	0.3277502758
454	0.3275183148
455	0.3271793667
456	0.3270985445
457	0.3270143546
458	0.3268956263
459	0.3267732497
460	0.3266459319
461	0.326548785
462	0.3264137691
463	0.3262595529
464	0.3262436041
465	0.3259578733
466	0.3259512191
467	0.3257191183
468	0.3255174583
469	0.3252116419
470	0.3250556744
471	0.3249130644
472	0.3249063608
473	0.3248410397
474	0.3248379412
475	0.3248151119
476	0.324718099
477	0.3244934012
478	0.3244459197
479	0.324280063
480	0.3242786476
481	0.3242786331
482	0.3242747664
483	0.3240872803
484	0.3239923523
485	0.323774399
486	0.3236035639
487	0.3235096535
488	0.3234015864
489	0.3233498845
490	0.3232687039
491	0.3232686969
492	0.3231472424
493	0.3231453448
494	0.3229631561
495	0.3228918633
496	0.3226363346
497	0.3223968892
498	0.3222875521
499	0.3217289505
500	0.3212474806
501	0.3211246182
502	0.3209984678
503	0.3209534869
504	0.3209534834
505	0.3209448193
506	0.3208240709
507	0.3206487938
508	0.3204031544
509	0.3201893951
510	0.3200883566
511	0.3193828259
512	0.3192561007
513	0.3191037565
514	0.3187788871
515	0.3186951603
516	0.3186487038
517	0.3184167039
518	0.3183237103
519	0.3181138947
520	0.3181138651
521	0.317894676
522	0.3178426655
523	0.3177108928
524	0.3176629829
525	0.3176518862
526	0.3175639056
527	0.317386728
528	0.3173020891
529	0.3171080962
530	0.3170890035
531	0.3170242896
532	0.3167305114
533	0.3163623286
534	0.3163623238
535	0.3163163989
536	0.3162998694
537	0.3155417695
538	0.3154693421
539	0.3153878493
540	0.3152403132
541	0.3149880135
542	0.3147711802
543	0.3146708502
544	0.3146440053
545	0.3143635754
546	0.3142420698
547	0.3136084986
548	0.3135341494
549	0.3133630386
550	0.3131989848
551	0.3131823249
552	0.3130368834
553	0.3129513632
554	0.3129513473
555	0.3127302423
556	0.3127140139
557	0.3125781342
558	0.3122844678
559	0.3120060037
560	0.311943737
561	0.3119103523
562	0.3118927468
563	0.3115552888
564	0.3114944978
565	0.3114870234
566	0.311133901
567	0.3108978904
568	0.3104357177
569	0.310262509
570	0.3101804297
571	0.3100987561
572	0.3098170457
573	0.3095682016
574	0.3092074292
575	0.3091028339
576	0.3089776346
577	0.308928438
578	0.3087352738
579	0.3084933433
580	0.3083732784
581	0.3082845148
582	0.3081947617
583	0.3081378612
584	0.3080846527
585	0.3077143788
586	0.3076395762
587	0.3076379938
588	0.3076190189
589	0.3074990755
590	0.307363106
591	0.3071656582
592	0.3071384254
593	0.3065773317
594	0.3064114432
595	0.3063476126
596	0.3062348565
597	0.3060975785
598	0.3059196985
599	0.3056473412
600	0.3056117755
601	0.3054675268
602	0.3053283723
603	0.3052724172
604	0.3052155638
605	0.3051500143
606	0.3049980246
607	0.3046972527
608	0.3043752297
609	0.3042757559
610	0.3039146386
611	0.3037668058
612	0.3036448916
613	0.3032585307
614	0.3029478314
615	0.302839271
616	0.3026845052
617	0.3024468639
618	0.3022510193
619	0.3022345851
620	0.3022220863
621	0.302013039
622	0.3018389753
623	0.3017281866
624	0.3016325759
625	0.3014999979
626	0.3009965505
627	0.300945884
628	0.3008902053
629	0.3008070927
630	0.3005509629
631	0.3002247896
632	0.3001629936
633	0.3001439101
634	0.3000299297
635	0.299881251
636	0.2997347715
637	0.2994678009
638	0.29939776
639	0.2993894011
640	0.2993671177
641	0.2991769317
642	0.2989542874
643	0.2989430003
644	0.2987925833
645	0.2987896571
646	0.2985817456
